"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"broken","Fri May 07 10:55:19 GMT 2021","Fri May 07 10:55:29 GMT 2021","10229","","jp.shiftinc.automation.ExampleTest","","jp.shiftinc.automation.ExampleTest","canDownloadCorrectFile","allow popup when download => true",""
"broken","Fri May 07 10:55:29 GMT 2021","Fri May 07 10:56:04 GMT 2021","34925","","jp.shiftinc.automation.ExampleTest","","jp.shiftinc.automation.ExampleTest","cannotClickElement","cannotClickElement()",""
"passed","Fri May 07 10:55:04 GMT 2021","Fri May 07 10:55:19 GMT 2021","14790","","jp.shiftinc.automation.ExampleTest","","jp.shiftinc.automation.ExampleTest","canDownloadCorrectFile","allow popup when download => false",""
