"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Wed May 05 19:04:35 GMT 2021","Wed May 05 19:04:59 GMT 2021","24116","","jp.shiftinc.automation.ExampleTest","","jp.shiftinc.automation.ExampleTest","canDownloadCorrectFile","canDownloadCorrectFile()",""
"broken","Wed May 05 19:04:59 GMT 2021","Wed May 05 19:05:44 GMT 2021","44879","","jp.shiftinc.automation.ExampleTest","","jp.shiftinc.automation.ExampleTest","cannotClickElement","cannotClickElement()",""
