"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"broken","Thu May 06 04:44:12 GMT 2021","Thu May 06 04:44:57 GMT 2021","45088","","jp.shiftinc.automation.ExampleTest","","jp.shiftinc.automation.ExampleTest","cannotClickElement","cannotClickElement()",""
"broken","Thu May 06 04:43:52 GMT 2021","Thu May 06 04:44:12 GMT 2021","20290","","jp.shiftinc.automation.ExampleTest","","jp.shiftinc.automation.ExampleTest","canDownloadCorrectFile","[2] true",""
"passed","Thu May 06 04:43:27 GMT 2021","Thu May 06 04:43:52 GMT 2021","24621","","jp.shiftinc.automation.ExampleTest","","jp.shiftinc.automation.ExampleTest","canDownloadCorrectFile","[1] false",""
