"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"broken","Thu May 06 05:04:07 GMT 2021","Thu May 06 05:04:52 GMT 2021","44835","","jp.shiftinc.automation.ExampleTest","","jp.shiftinc.automation.ExampleTest","cannotClickElement","cannotClickElement()",""
"passed","Thu May 06 05:03:21 GMT 2021","Thu May 06 05:03:46 GMT 2021","24881","","jp.shiftinc.automation.ExampleTest","","jp.shiftinc.automation.ExampleTest","canDownloadCorrectFile","allow popup when download => false",""
"broken","Thu May 06 05:03:46 GMT 2021","Thu May 06 05:04:07 GMT 2021","20515","","jp.shiftinc.automation.ExampleTest","","jp.shiftinc.automation.ExampleTest","canDownloadCorrectFile","allow popup when download => true",""
